IDText,Text,predicted_label
TXT0001,lu mau org2 prodemokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo pilih amin tpi jangan pilih pks pilih partai buruh jangan pilih prabowo dan semua partai pengusungnya pilih gama tpi jangan pilih pdip pilih partai buruh re debordsbitch,Politik
TXT0002,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter 1997 saat orde baru dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya btw bajunya ganjar matching dengan tema debat anies menegaskan normal hutang luar negeri yg aman tak lebih dari 30 gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesiasiaan prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar re mazzini_gsp,Pertahanan dan Keamanan
TXT0003,kiki_daliyo ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua  mahfud hebat    l3bihbaik happy new year,Ideologi
TXT0004,kumparan prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat,Politik
TXT0005,sniperruben45 uda_zulhendra ainunnajib lah justru yg gak nyambung junjungan elu aomkmkmkmk ngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana ãâÿââ pak anies masih sopan lho gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang 50 atau nyuruh belajar ekonomi lagi,Politik
TXT0006,nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan    jnk,Politik
TXT0007,prabowo anti kebebasan pers,Politik
TXT0008,kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan panganjnk  ,Politik
TXT0009,ãâÿââ½ ganjar mahfud hebat coblos3 3gm  pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat 3gm coblos3,Ideologi
TXT0010,ganjarmahfud adalah harapan baru untuk pertumbuhan ekonomi kita almonded3 happy new year   l3bihbaik,Ekonomi
TXT0011,alextham878 diplomasi ganjar 3kali lipat anis saat anis tanya nilai wo dipancing anis keluarin blunder angka 11itu penghinaan beda dan wajar dgan angka 5,Politik
TXT0012,malumaluin dari gemoy ke minyak gorengãââ apakah tidak ada cara kampanye yang lebih terhormat u masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukurukur dg sembako dan rupiah contoh lah desak aniesãââ terhormat re shamsiali2,Politik
TXT0013,saking pen junjungan mrk prabowo brkuasa ap sj dlanggar bawaslu_ri dan kpu_id sj mlempem letoy hdapi planggaran mrk yg tak bretika ãâÿââãâÿââãâÿââ aminajadulu  re kurusetra91,Politik
TXT0014,manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung aniesmuhaimin amin re oposisicerdas,Politik
TXT0015,masyaallah gegap gempita para  saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo 31122023 selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa aamiin re aan_muba,Sosial Budaya
